S.No.,Seller Name,Offered Item,Total Price,Rank,Winner
35,NARSINGH SICUREZZA PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
36,ROLEX INDUSTRIAL AND MANAGEMENT SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
37,JAI BHOLENATH SERVICES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
38,PRANJAL PRAGYAN INDIA MULTI SERVICES PRIVATE LIMITED ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
39,CLASSIC HUMAN RESOURCES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
40,SHRIHAN VIRAT INFRAESTATE PRIVATE LIMITED ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
41,EKADANTA OUTSOURCING LLP ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
42,BHAGWATI MANPOWER SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
43,Vaibhav Professional Services Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
44,Sehrawat Data Analyst ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
45,GLOBALBRAVE INDIA INTEGRATED SERVICES PRIVATE LIMITED ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
46,SIDDHA ENTERPRISES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
47,M/S AWADH GROUP ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
48,BHARAT SECURITY SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
49,M.M. EAGLES SECURITY ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
50,MAA KA RUNANUBANDH OUTSOURCING SERVICES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
51,KHUSHI ENTERPRISES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
52,infinix enterprises ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
53,AWADH SECURITY SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
54,Shree Sant Gadgebaba Maharaj Berojgar Sanstha ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
55,TISHYA SECURITY & ALLIED SERVICES PRIVATE LIMITED ( MSE Social Category:NA ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
56,M-TECH POWER SERVICES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
57,DEVENDRA H.R SERVICES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
58,YOGINI SERVICES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
59,SHREE CONSULTANCY SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
60,SHREE SAIKRUPA SECURITY AND ALLIED SERVICES PRIVATE LIMITED ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
61,TRIPADA SECURITY SERVICE AND MANPOWER ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
62,BALAJI HOUSEKEEPING AND SECURITY SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
63,VIGHNAHARTA ENTERPRISES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
64,J B SECURITY SERVICE ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
65,ALPHONIC INDIA PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
66,KD SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
67,ELITE INDUSTRIAL SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
68,PERFECT FACILITY MANAGEMENT SERVICES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
69,COMPASS VISION SERVICES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
70,PARI ENTERPRISES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
71,OJHA TECH INDUSTRIES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
